order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,FUR-BO-10001798,261.96
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,FUR-CH-10000454,731.94
CA-2017-138688,2017-06-12,2017-06-16,Second Class,DV-13045,OFF-LA-10000240,14.62
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,FUR-TA-10000577,957.5775
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,OFF-ST-10000760,22.368
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,FUR-FU-10001487,48.86
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-AR-10002833,7.28
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,TEC-PH-10002275,907.152
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-BI-10003910,18.504
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-AP-10002892,114.9
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,FUR-TA-10001539,1706.184
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,TEC-PH-10002033,911.424
CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480,OFF-PA-10002365,15.552
CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070,OFF-BI-10003656,407.976
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,OFF-AP-10002311,68.81
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,OFF-BI-10000756,2.544
CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,OFF-ST-10004186,665.88
CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270,OFF-ST-10000107,55.5
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,OFF-AR-10003056,8.56
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,TEC-PH-10001949,213.48
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,OFF-BI-10002215,22.72
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,OFF-AR-10000246,19.46
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,OFF-AP-10001492,60.34
US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065,FUR-CH-10002774,71.372
CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044.63
CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,OFF-BI-10001634,11.648
CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,TEC-AC-10003027,90.57
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083.43
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-BI-10000474,9.618
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.2
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-EN-10001509,3.264
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-AR-10004042,86.304
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-BI-10001525,6.858
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-AR-10001683,15.76
CA-2018-107727,2018-10-19,2018-10-23,Second Class,MA-17560,OFF-PA-10000249,29.472
CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,TEC-PH-10004977,1097.544
CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,FUR-FU-10003664,190.92
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,OFF-EN-10002986,113.328
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,FUR-BO-10002545,532.3992
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,FUR-CH-10004218,212.058
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,TEC-PH-10000486,371.168
CA-2018-120999,2018-09-10,2018-09-15,Standard Class,LC-16930,TEC-PH-10004093,147.168
CA-2017-101343,2017-07-17,2017-07-22,Standard Class,RA-19885,OFF-ST-10003479,77.88
CA-2018-139619,2018-09-19,2018-09-23,Standard Class,ES-14080,OFF-ST-10003282,95.616
CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,TEC-AC-10000171,45.98
CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,OFF-BI-10003291,17.46
CA-2015-146703,2015-10-20,2015-10-25,Second Class,PO-18865,OFF-ST-10001713,211.96
CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,TEC-AC-10002167,45
CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,TEC-PH-10003988,21.8
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,OFF-BI-10004410,38.22
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,OFF-LA-10002762,75.18
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,FUR-FU-10001706,6.16
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,FUR-CH-10003061,89.99
CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,OFF-FA-10000304,15.26
CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,TEC-PH-10002447,1029.95
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,OFF-ST-10000604,208.56
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,OFF-PA-10001569,32.4
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,FUR-CH-10003968,319.41
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,OFF-PA-10000587,14.56
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,TEC-AC-10002167,30
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,OFF-BI-10001460,48.48
CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,OFF-AR-10001868,1.68
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,TEC-AC-10004633,13.98
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,OFF-BI-10001078,25.824
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,OFF-PA-10003892,146.73
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,FUR-FU-10000397,79.76
US-2016-164175,2016-04-30,2016-05-05,Standard Class,PS-18970,FUR-CH-10001146,213.115
CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,OFF-AR-10002671,1113.024
CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,TEC-PH-10002726,167.968
CA-2017-119823,2017-06-04,2017-06-06,First Class,KD-16270,OFF-PA-10000482,75.88
CA-2017-106075,2017-09-18,2017-09-23,Standard Class,HM-14980,OFF-BI-10004654,4.616
CA-2018-114440,2018-09-14,2018-09-17,Second Class,TB-21520,OFF-PA-10004675,19.05
US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,FUR-CH-10000513,831.936
US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,FUR-FU-10003708,97.04
US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,OFF-ST-10004123,72.784
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,OFF-BI-10004182,1.248
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,FUR-FU-10000260,9.708
US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,OFF-ST-10000615,27.24
US-2015-147606,2015-11-26,2015-12-01,Second Class,JE-15745,FUR-FU-10003194,19.3
CA-2017-127208,2017-06-12,2017-06-15,First Class,SC-20770,OFF-AP-10002118,208.16
CA-2017-127208,2017-06-12,2017-06-15,First Class,SC-20770,OFF-BI-10002309,16.74
CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690,OFF-AR-10002053,14.9
CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690,OFF-ST-10002370,21.39
CA-2016-149734,2016-09-03,2016-09-08,Standard Class,JC-16105,OFF-EN-10000927,200.984
US-2018-119662,2018-11-13,2018-11-16,First Class,CS-12400,OFF-ST-10003656,230.376
CA-2018-140088,2018-05-28,2018-05-30,Second Class,PO-18865,FUR-CH-10000863,301.96
CA-2018-155558,2018-10-26,2018-11-02,Standard Class,PG-18895,TEC-AC-10001998,19.99
CA-2018-155558,2018-10-26,2018-11-02,Standard Class,PG-18895,OFF-LA-10000134,6.16
CA-2017-159695,2017-04-05,2017-04-10,Second Class,GM-14455,OFF-ST-10003442,158.368
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685,OFF-AR-10004930,20.1
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685,TEC-PH-10004093,73.584
CA-2017-109806,2017-09-17,2017-09-22,Standard Class,JS-15685,OFF-PA-10000304,6.48
CA-2016-149587,2016-01-31,2016-02-05,Second Class,KB-16315,OFF-PA-10003177,12.96
